nm,HL,LL,HL_UB,HL_LB,LL_UB,LL_LB
664,1.65E-09,4.15E-09,1.68319E-09,1.62254E-09,4.34236E-09,3.95184E-09
665,1.75E-09,4.36E-09,1.77256E-09,1.72963E-09,4.54804E-09,4.16353E-09
666,1.85E-09,4.57E-09,1.86544E-09,1.83456E-09,4.7551E-09,4.37554E-09
667,1.90E-09,4.69E-09,1.91719E-09,1.88101E-09,4.90267E-09,4.482E-09
668,1.95E-09,4.82E-09,1.96934E-09,1.9274E-09,5.05143E-09,4.5879E-09
669,2.02E-09,4.97E-09,2.041E-09,1.99429E-09,5.20239E-09,4.72828E-09
670,2.09E-09,5.11E-09,2.11353E-09,2.06096E-09,5.35379E-09,4.86902E-09
671,2.11E-09,5.21E-09,2.14138E-09,2.0878E-09,5.43011E-09,4.99851E-09
672,2.14E-09,5.32E-09,2.16949E-09,2.11447E-09,5.51026E-09,5.12461E-09
673,2.20E-09,5.45E-09,2.2271E-09,2.16848E-09,5.64818E-09,5.2509E-09
674,2.25E-09,5.58E-09,2.28666E-09,2.22095E-09,5.78646E-09,5.37748E-09
675,2.28E-09,5.62E-09,2.31364E-09,2.25393E-09,5.84924E-09,5.38467E-09
676,2.31E-09,5.65E-09,2.34321E-09,2.28444E-09,5.91531E-09,5.38868E-09
677,2.33E-09,5.70E-09,2.3521E-09,2.29882E-09,5.95657E-09,5.44737E-09
678,2.34E-09,5.75E-09,2.36123E-09,2.31298E-09,5.99818E-09,5.5058E-09
679,2.33E-09,5.76E-09,2.36228E-09,2.30347E-09,6.01603E-09,5.50439E-09
680,2.33E-09,5.77E-09,2.36581E-09,2.2915E-09,6.03414E-09,5.50273E-09
681,2.28E-09,5.67E-09,2.32071E-09,2.24541E-09,5.92299E-09,5.41217E-09
682,2.24E-09,5.57E-09,2.27606E-09,2.19913E-09,5.81215E-09,5.32168E-09
683,2.18E-09,5.48E-09,2.22115E-09,2.14519E-09,5.71256E-09,5.24124E-09
684,2.13E-09,5.39E-09,2.16915E-09,2.08873E-09,5.61325E-09,5.16082E-09
685,2.01E-09,5.12E-09,2.05289E-09,1.97436E-09,5.3536E-09,4.88899E-09
686,1.90E-09,4.86E-09,1.93857E-09,1.8598E-09,5.09618E-09,4.61755E-09
687,1.84E-09,4.75E-09,1.87918E-09,1.80862E-09,4.98849E-09,4.51785E-09
688,1.79E-09,4.65E-09,1.82099E-09,1.75665E-09,4.88101E-09,4.41834E-09
689,1.64E-09,4.25E-09,1.667E-09,1.61261E-09,4.46467E-09,4.04412E-09
690,1.49E-09,3.86E-09,1.51617E-09,1.46851E-09,4.05166E-09,3.67258E-09
691,1.34E-09,3.48E-09,1.35785E-09,1.3186E-09,3.65312E-09,3.30948E-09
692,1.19E-09,3.10E-09,1.20369E-09,1.16801E-09,3.25773E-09,2.94896E-09
693,1.07E-09,2.81E-09,1.08872E-09,1.04868E-09,2.94609E-09,2.68037E-09
694,9.53E-10,2.52E-09,9.75272E-10,9.29908E-10,2.63669E-09,2.41297E-09
